SA-GSHP Performance Analysis - 20 Year Results
Generated: 2026-05-14 13:11:13

Year,Ground_Temperature_C,HP_COP,System_SCOP,Cooling_Load_kWh,HP_Electricity_kWh,Pump_Electricity_kWh,Total_Electricity_kWh
1,30.10,5.98,3.32,28837,4823,3856,8679
2,30.20,5.96,3.32,28837,4839,3856,8695
3,30.26,5.95,3.31,28837,4848,3856,8704
4,30.31,5.94,3.31,28837,4856,3856,8712
5,30.35,5.93,3.31,28837,4863,3856,8719
6,30.39,5.92,3.31,28837,4869,3856,8725
7,30.42,5.92,3.30,28837,4874,3856,8730
8,30.45,5.91,3.30,28837,4880,3856,8736
9,30.49,5.90,3.30,28837,4885,3856,8741
10,30.52,5.90,3.30,28837,4890,3856,8746
11,30.55,5.89,3.30,28837,4895,3856,8751
12,30.58,5.88,3.29,28837,4900,3856,8756
13,30.61,5.88,3.29,28837,4905,3856,8761
14,30.63,5.87,3.29,28837,4910,3856,8766
15,30.66,5.87,3.29,28837,4915,3856,8771
16,30.69,5.86,3.29,28837,4919,3856,8775
17,30.72,5.86,3.28,28837,4924,3856,8780
18,30.75,5.85,3.28,28837,4929,3856,8785
19,30.77,5.85,3.28,28837,4933,3856,8789
20,30.80,5.84,3.28,28837,4938,3856,8794

SUMMARY STATISTICS
Average SCOP,3.30
Average COP,5.90
Total Electricity (20 years),174915 kWh
Average Annual Electricity,8746 kWh
Ground Temperature Drift,+0.70 C
