Year,T_ground_with_regen_C,T_ground_without_regen_C
1,30.08474774265595,30.419749664528464
2,30.180810382694393,30.92235078439482
3,30.23989404748404,31.23319029734241
4,30.287393473163355,31.483608819243273
5,30.3291221080162,31.70392809185054
6,30.367401222576234,31.906255381320925
7,30.403393825920517,32.09665670203502
8,30.4377649626757,32.278600788974046
9,30.470929906565853,32.45425362384166
10,30.50316489468605,32.625056002091874
11,30.534662678240593,32.792013274069916
12,30.565562895373848,32.95585376340514
13,30.595969814905462,33.11712131465709
14,30.62596326295086,33.27623228430464
15,30.6556056470775,33.43351217728926
16,30.684946636243733,33.5892200566068
17,30.71402637469734,33.74356530633617
18,30.74287774714046,33.89671944627028
19,30.771528011603117,34.048824648646054
20,30.8,34.2
