year,T_ground_C,HP_COP,SCOP_system,Q_cooling_kWh,E_HP_kWh,E_pumps_kWh,E_total_kWh
1,30.08474774265595,6.0,1.49,7616,1269,3856,5125
2,30.180810382694396,6.0,1.49,7616,1269,3856,5125
3,30.23989404748404,6.0,1.49,7616,1269,3856,5125
4,30.287393473163355,6.0,1.49,7616,1269,3856,5125
5,30.3291221080162,6.0,1.49,7616,1269,3856,5125
6,30.367401222576238,6.0,1.49,7616,1269,3856,5125
7,30.40339382592052,6.0,1.49,7616,1269,3856,5125
8,30.4377649626757,6.0,1.49,7616,1269,3856,5125
9,30.470929906565853,6.0,1.49,7616,1269,3856,5125
10,30.50316489468605,6.0,1.49,7616,1269,3856,5125
11,30.534662678240597,6.0,1.49,7616,1269,3856,5125
12,30.565562895373848,6.0,1.49,7616,1269,3856,5125
13,30.595969814905462,6.0,1.49,7616,1269,3856,5125
14,30.62596326295086,6.0,1.49,7616,1269,3856,5125
15,30.6556056470775,6.0,1.49,7616,1269,3856,5125
16,30.684946636243733,6.0,1.49,7616,1269,3856,5125
17,30.71402637469734,6.0,1.49,7616,1269,3856,5125
18,30.74287774714046,6.0,1.49,7616,1269,3856,5125
19,30.77152801160312,6.0,1.49,7616,1269,3856,5125
20,30.8,6.0,1.49,7616,1269,3856,5125
